"Table with row headers in column A, and column headers in rows 5 through 544. Leading dots indicate subparts. ",,,,,,,,
"Table 1. Full-Time, Year-Round Workers and Median Earnings in 1999 by Sex and Detailed Occupation1: 20002",,,,,,,,
"Full-time, year-round civilian employed 16 years and older (estimates) and full-time, year-round civilian employed 16 years and older with earnings (medians)3",,,,,,,,
,,,,,,,,
,"Number of Full-Time, Year-Round Workers4",,,Percentage of women in occupational group,Median Earnings (dollars),,,Women's earnings as a percentage of men's earnings
Occupational Category,Total,Men,Women,,Total,Men,Women,
,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
..Real estate brokers and sales agents,"418,850","212,630","206,220",49.2,"41,794","50,463","36,189",71.7
..Sales engineers,"29,540","27,920","1,620",5.5,"62,437","62,918","56,875",90.4
..Telemarketers,"70,840","27,510","43,320",61.2,"20,721","24,027","18,934",78.8
"..Door-to-door sales workers, news and street vendors, and related workers","56,450","34,140","22,310",39.5,"23,011","26,879","18,637",69.3
"..Sales and related workers, all other","132,230","70,990","61,240",46.3,"39,347","45,772","34,074",74.4
.Office and administrative support occupations:,"12,475,070","3,244,280","9,230,790",74.0,"26,694","32,010","25,581",79.9
..First-line supervisors/managers of office and administrative support workers,"1,335,860","453,700","882,160",66.0,"33,194","40,716","30,947",76.0
"..Switchboard operators, including answering service","41,040","5,010","36,030",87.8,"21,174","29,177","20,661",70.8
..Telephone operators,"47,320","9,350","37,970",80.2,"26,238","29,007","25,744",88.8
"..Communications equipment operators, all other","8,640","4,050","4,590",53.1,"30,959","35,890","27,737",77.3
..Bill and account collectors,"140,250","40,610","99,630",71.0,"26,189","29,084","25,443",87.5
..Billing and posting clerks and machine operators,"262,290","30,780","231,510",88.3,"25,025","31,202","24,355",78.1
"..Bookkeeping, accounting, and auditing clerks","1,080,270","116,110","964,160",89.3,"25,828","30,291","25,491",84.2
..Gaming cage workers,"4,840","1,230","3,610",74.6,"21,723","22,426","21,483",95.8
..Payroll and timekeeping clerks,"148,710","14,810","133,900",90.0,"27,665","32,251","27,239",84.5
..Procurement clerks,"30,660","11,630","19,030",62.1,"30,953","38,467","28,159",73.2
..Tellers,"200,360","15,670","184,690",92.2,"18,722","20,635","18,592",90.1
..Brokerage clerks,"7,470","2,680","4,800",64.2,"31,670","37,376","30,407",81.4
..Correspondence clerks,"5,510",940,"4,570",82.9,"27,265","30,185","26,725",88.5
"..Court, municipal, and license clerks","56,420","11,250","45,180",80.1,"26,502","31,467","25,719",81.7
"..Credit authorizers, checkers, and clerks","38,210","8,930","29,280",76.6,"25,717","36,614","24,098",65.8
..Customer service representatives,"1,248,770","383,590","865,190",69.3,"26,769","31,586","25,505",80.7
"..Eligibility interviewers, government programs","51,580","10,040","41,540",80.5,"30,924","34,780","30,350",87.3
..File clerks,"139,060","28,800","110,260",79.3,"22,837","25,670","22,231",86.6
"..Hotel, motel, and resort desk clerks","48,630","16,640","31,990",65.8,"17,470","20,035","16,801",83.9
"..Interviewers, except eligibility and loan","65,510","14,550","50,970",77.8,"23,102","27,104","22,277",82.2
