Year,OccupationalCategory,Men,Women,Percentage
2000,Security guards and gaming surveillance officers,24366,22196,91.1
2000,Crossing guards,23248,20126,86.6
2000,Lifeguards and other protective service workers,28193,22462,79.7
2000,Food preparation and serving related occupations:,19732,15697,79.6
2000,Chefs and head cooks,26731,21162,79.2
2000,First-line supervisors/managers of food preparation and serving workers,25781,19399,75.2
2000,Cooks,17439,14689,84.2
2000,Food preparation workers,16644,14758,88.7
2000,Bartenders,21389,16260,76
2000,Combined food preparation and serving workers including fast food,17061,15360,90
2000,Counter attendants cafeteria food concession and coffee shop,16260,13205,81.2
2000,Waiters and waitresses,19753,15115,76.5
2000,Food servers nonrestaurant,21182,17364,82
2000,Dining room and cafeteria attendants and bartender helpers,15558,15095,97
2000,Dishwashers,13610,12496,91.8
2000,Hosts and hostesses restaurant lounge and coffee shop,20722,15072,72.7
2000,Food preparation and serving related workers all other,18305,14198,77.6
2000,Building and grounds cleaning and maintenance occupations:,23235,16177,69.6
2000,First-line supervisors/managers of housekeeping and janitorial workers,30672,20662,67.4
2000,First-line supervisors/managers of landscaping lawn service and groundskeeping workers,31342,25419,81.1
2000,Janitors and building cleaners,23491,17298,73.6
2000,Maids and housekeeping cleaners,19447,14879,76.5
2000,Pest control workers,26842,22702,84.6
2000,Grounds maintenance workers,20741,18314,88.3
2000,Personal care and service occupations:,26651,17451,65.5
2000,First-line supervisors/managers of gaming workers,36566,28551,78.1
2000,First-line supervisors/managers of personal service workers,33881,23819,70.3
2000,Animal trainers,23710,19224,81.1
2000,Nonfarm animal caretakers,22772,18768,82.4
2000,Gaming services workers,30826,27609,89.6
2000,Motion picture projectionists,22221,16804,0
2000,Ushers lobby attendants and ticket takers,29219,18689,64
2000,Miscellaneous entertainment attendants and related workers,22189,18966,85.5
2000,Funeral service workers,26781,24594,91.8
2000,Barbers,22470,17151,76.3
2000,Hairdressers hairstylists and cosmetologists,26670,18526,69.5
2000,Miscellaneous personal appearance workers,19855,18108,91.2
2000,Baggage porters bellhops and concierges,23289,21873,93.9
2000,Tour and travel guides,23750,22109,93.1
2000,Transportation attendants,35803,31244,87.3
2000,Child care workers,21403,14207,66.4
2000,Personal and home care aides,19606,16180,82.5
2000,Recreation and fitness workers,30415,23228,76.4
2000,Residential advisors,22408,20713,92.4
2000,Personal care and service workers all other,21669,19649,90.7
2000,Sales and office occupations:,36438,25439,69.8
2000,Sales and related occupations:,40075,24765,61.8
2000,First-line supervisors/managers of retail sales workers,36350,24324,66.9
2000,First-line supervisors/managers of non-retail sales workers,47184,34591,73.3
2000,Cashiers,21308,15696,73.7
2000,Counter and rental clerks,26256,16666,63.5
2000,Parts salespersons,27899,21285,76.3
2000,Retail salespersons,31709,20331,64.1
2000,Advertising sales agents,45701,36321,79.5
2000,Insurance sales agents,51449,30230,58.8
2000,Securities commodities and financial services sales agents,66192,36997,55.9
2000,Travel agents,31104,26403,84.9
2000,Sales representatives services all other,49877,36868,73.9
2000,Sales representatives wholesale and manufacturing,49226,36581,74.3
2000,Models demonstrators and product promoters,40107,23370,58.3
2000,Real estate brokers and sales agents,50463,36189,71.7
2000,Sales engineers,62918,56875,90.4
2000,Telemarketers,24027,18934,78.8
2000,Door-to-door sales workers news and street vendors and related workers,26879,18637,69.3
2000,Sales and related workers all other,45772,34074,74.4
2000,Office and administrative support occupations:,32010,25581,79.9
2000,First-line supervisors/managers of office and administrative support workers,40716,30947,76
2000,Switchboard operators including answering service,29177,20661,70.8
2000,Telephone operators,29007,25744,88.8
2000,Communications equipment operators all other,35890,27737,77.3
2000,Bill and account collectors,29084,25443,87.5
2000,Billing and posting clerks and machine operators,31202,24355,78.1
2000,Bookkeeping accounting and auditing clerks,30291,25491,84.2
2000,Gaming cage workers,22426,21483,95.8
2000,Payroll and timekeeping clerks,32251,27239,84.5
2000,Procurement clerks,38467,28159,73.2
2000,Tellers,20635,18592,90.1
2000,Brokerage clerks,37376,30407,81.4
2000,Correspondence clerks,30185,26725,88.5
2000,Court municipal and license clerks,31467,25719,81.7
2000,Credit authorizers checkers and clerks,36614,24098,65.8
2000,Customer service representatives,31586,25505,80.7
2000,Eligibility interviewers government programs,34780,30350,87.3
2000,File clerks,25670,22231,86.6
2000,Hotel motel and resort desk clerks,20035,16801,83.9
2000,Interviewers except eligibility and loan,27104,22277,82.2
2000,Library assistants clerical,24170,21992,91
2000,Loan interviewers and clerks,35022,27208,77.7
2000,New accounts clerks,30979,23345,75.4
2000,Order clerks,26933,22391,83.1
2000,Human resources assistants except payroll and timekeeping,35289,27422,77.7
2000,Receptionists and information clerks,26136,20723,79.3
2000,Reservation and transportation ticket agents and travel clerks,33211,25317,76.2
2000,Information and record clerks all other,31879,24786,77.8
2000,Cargo and freight agents,35785,27489,76.8
2000,Couriers and messengers,27983,22790,81.4
2000,Dispatchers,33596,26034,77.5
2000,Meter readers utilities,29727,28228,95
2000,Postal service clerks,40757,38643,94.8
2000,Postal service mail carriers,40622,36853,90.7
2000,Postal service mail sorters processors and processing machine operators,40428,37739,93.3
2000,Production planning and expediting clerks,41799,29823,71.3
2000,Shipping receiving and traffic clerks,25921,21508,83
2000,Stock clerks and order fillers,24147,20791,86.1
2000,Weighers measurers checkers and samplers recordkeeping,31195,22514,72.2
2000,Secretaries and administrative assistants,31665,26410,83.4
2000,Computer operators,35994,26770,74.4
2000,Data entry keyers,26739,22323,83.5
2000,Word processors and typists,28638,24672,86.2
2000,Desktop publishers,38297,30762,80.3
2000,Insurance claims and policy processing clerks,36187,25726,71.1
2000,Mail clerks and mail machine operators except postal service,23500,20499,87.2
2000,Office clerks general,28095,24010,85.5
2000,Office machine operators except computer,25712,20627,80.2
2000,Proofreaders and copy markers,30304,25138,83
2000,Statistical assistants,38068,29190,76.7
2000,Office and administrative support workers all other,37129,27691,74.6
